LA,URN,LONDON/NON-LONDON,MEDIAN,PUPILS,FSM,FSMBAND,GRANTFUNDING,SELFGENERATEDINCOME,TOTALINCOME,TEACHINGSTAFF,SUPPLYTEACHERS,EDUCATIONSUPPORTSTAFF,PREMISES,BACKOFFICE,CATERING,OTHERSTAFF,ENERGY,LEARNINGRESOURCES,ICT,BOUGHTINPROFESSIONALSERVICES,OTHER,TOTALEXPENDITURE,T1819CAT1,T1819CAT2,T1819CAT3,T1819CAT4,T1819CAT5,T1819SUM,T1819CAT1LA,T1819CAT2LA,T1819CAT3LA,T1819CAT4LA,T1819CAT5LA,T1920CAT1,T1920CAT2,T1920CAT3,T1920CAT4,T1920CAT5,T1920SUM,T1920CAT1LA,T1920CAT2LA,T1920CAT3LA,T1920CAT4LA,T1920CAT5LA,T2021CAT1,T2021CAT2,T2021CAT3,T2021CAT4,T2021CAT5,T2021SUM,T2021CAT1LA,T2021CAT2LA,T2021CAT3LA,T2021CAT4LA,T2021CAT5LA,DCAT1,DCAT2,DCAT3,DCAT4,DCAT5,PGRANTFUNDING,PSELFGENERATEDINCOME,PTEACHINGSTAFF,PSUPPLYTEACHERS,PEDUCATIONSUPPORTSTAFF,PPREMISES,PBACKOFFICE,PCATERING,POTHERSTAFF,PENERGY,PLEARNINGRESOURCES,PICT,PBOUGHTINPROFESSIONALSERVICES,POTHER,PT1819CAT1,PT1819CAT2,PT1819CAT3,PT1819CAT4,PT1819CAT5,PT1819CAT1LA,PT1819CAT2LA,PT1819CAT3LA,PT1819CAT4LA,PT1819CAT5LA,PT1920CAT1,PT1920CAT2,PT1920CAT3,PT1920CAT4,PT1920CAT5,PT1920CAT1LA,PT1920CAT2LA,PT1920CAT3LA,PT1920CAT4LA,PT1920CAT5LA,PT2021CAT1,PT2021CAT2,PT2021CAT3,PT2021CAT4,PT2021CAT5,PT2021CAT1LA,PT2021CAT2LA,PT2021CAT3LA,PT2021CAT4LA,PT2021CAT5LA,PDCAT1,PDCAT2,PDCAT3,PDCAT4,PDCAT5
937,125591,Non-London,Primary,351,16,,4673,196,4869,2260,142,789,259,397,55,138,14,96,52,126,139,4467,"2,999",96,340,54,"4,282",793,"2,857",98,361,57,"4,562",2439,105,331,31,4613,1707,2291,98,386,64,4876,2260,142,397,14,4467,1654,2479,98,386,55,4962,-179,37,66,-17,-146,96,4,51,3,18,6,9,1,3,0,2,1,3,3,70%,2%,8%,1%,100%,NA,NA,NA,NA,NA,53%,2%,7%,1%,100%,NA,NA,NA,NA,NA,51%,3%,9%,0%,100%,NA,NA,NA,NA,NA,-2%,1%,2%,-1%,0%
937,125595,Non-London,Primary,264,20.8,,4925,183,5108,2202,91,1230,182,360,304,229,49,132,40,92,109,5020,"2,939",121,331,46,"4,419",982,"2,857",98,361,57,"4,562",2099,101,313,53,4997,2431,2291,98,386,64,4876,2202,91,360,49,5020,2318,2479,98,386,55,4962,103,-10,47,-4,23,96,4,44,2,25,4,7,6,5,1,3,1,2,2,67%,3%,7%,1%,100%,NA,NA,NA,NA,NA,42%,2%,6%,1%,100%,NA,NA,NA,NA,NA,44%,2%,7%,1%,100%,NA,NA,NA,NA,NA,2%,0%,1%,0%,0%
937,125598,Non-London,Primary,460,30,,5257,194,5451,2441,205,767,215,326,100,226,32,256,51,122,97,4838,"2,930",136,301,33,"4,525",1125,"2,857",98,361,57,"4,562",2376,165,344,44,4693,1764,2291,98,386,64,4876,2441,205,326,32,4838,1834,2479,98,386,55,4962,65,40,-18,-12,145,96,4,50,4,16,4,7,2,5,1,5,1,3,2,65%,3%,7%,1%,100%,NA,NA,NA,NA,NA,51%,4%,7%,1%,100%,NA,NA,NA,NA,NA,50%,4%,7%,1%,100%,NA,NA,NA,NA,NA,-1%,0%,0%,0%,0%
937,125603,Non-London,Primary,255,23.5,,4915,335,5250,2641,77,453,349,473,33,339,60,91,21,105,127,4769,"3,214",-1,365,61,"4,856",1217,"3,233",133,384,66,"5,155",2524,13,588,56,5484,2303,2291,98,386,64,4876,2641,77,473,60,4769,1518,2479,98,386,55,4962,117,64,-115,4,-715,94,6,55,2,9,7,10,1,7,1,2,0,2,3,66%,0%,8%,1%,100%,NA,NA,NA,NA,NA,46%,0%,11%,1%,100%,NA,NA,NA,NA,NA,55%,2%,10%,1%,100%,NA,NA,NA,NA,NA,9%,2%,-1%,0%,0%
937,125605,Non-London,Primary,309,29.1,,5158,287,5445,2316,272,606,266,496,77,165,48,90,86,196,153,4771,"2,797",145,483,49,"4,473",999,"2,857",98,361,57,"4,562",2247,268,466,66,4826,1779,2291,98,386,64,4876,2316,272,496,48,4771,1639,2479,98,386,55,4962,69,4,30,-18,-55,95,5,49,6,13,6,10,2,3,1,2,2,4,3,63%,3%,11%,1%,100%,NA,NA,NA,NA,NA,47%,6%,10%,1%,100%,NA,NA,NA,NA,NA,49%,6%,10%,1%,100%,NA,NA,NA,NA,NA,2%,0%,0%,0%,0%
937,125607,Non-London,Primary,218,23.4,,5535,177,5712,2992,56,938,235,386,105,215,77,153,35,86,152,5430,"3,173",74,310,86,"4,661",1018,"2,857",98,361,57,"4,562",2791,45,354,90,5339,2059,2291,98,386,64,4876,2992,56,386,77,5430,1919,2479,98,386,55,4962,201,11,32,-13,91,97,3,55,1,17,4,7,2,4,1,3,1,2,3,68%,2%,7%,2%,100%,NA,NA,NA,NA,NA,52%,1%,7%,2%,100%,NA,NA,NA,NA,NA,55%,1%,7%,1%,100%,NA,NA,NA,NA,NA,3%,0%,0%,-1%,0%
937,125609,Non-London,Primary,206,4.9,,4652,574,5226,2388,44,915,508,430,169,245,67,143,24,130,89,5152,"2,547",134,386,50,"4,236",1119,"2,857",98,361,57,"4,562",2137,12,376,68,4523,1930,2291,98,386,64,4876,2388,44,430,67,5152,2223,2479,98,386,55,4962,251,32,54,-1,629,89,11,46,1,18,10,8,3,5,1,3,0,3,2,60%,3%,9%,1%,100%,NA,NA,NA,NA,NA,47%,0%,8%,2%,100%,NA,NA,NA,NA,NA,46%,1%,8%,1%,100%,NA,NA,NA,NA,NA,-1%,1%,0%,-1%,0%
937,125610,Non-London,Primary,319,3.4,,4914,333,5247,2380,150,828,281,392,149,290,50,152,39,344,71,5126,"2,959",110,291,54,"4,759",1345,"2,857",98,361,57,"4,562",2165,85,330,77,5127,2470,2291,98,386,64,4876,2380,150,392,50,5126,2154,2479,98,386,55,4962,215,65,62,-27,-1,94,6,46,3,16,5,8,3,6,1,3,1,7,1,62%,2%,6%,1%,100%,NA,NA,NA,NA,NA,42%,2%,6%,2%,100%,NA,NA,NA,NA,NA,46%,3%,8%,1%,100%,NA,NA,NA,NA,NA,4%,1%,2%,-1%,0%
937,125616,Non-London,Primary,152,32.9,,6071,185,6256,2716,135,1272,354,486,263,196,75,61,141,156,109,5964,"3,061",112,388,57,"5,115",1497,"2,857",98,361,57,"4,562",2473,120,431,75,5832,2733,2291,98,386,64,4876,2716,135,486,75,5964,2552,2479,98,386,55,4962,243,15,55,0,132,97,3,46,2,21,6,8,4,3,1,1,2,3,2,60%,2%,8%,1%,100%,NA,NA,NA,NA,NA,42%,2%,7%,1%,100%,NA,NA,NA,NA,NA,46%,2%,8%,1%,100%,NA,NA,NA,NA,NA,4%,0%,1%,0%,0%
937,125618,Non-London,Primary,187,8.8,,5776,490,6266,2613,118,950,327,515,330,190,74,56,42,122,468,5805,"3,247",167,448,84,"4,921",975,"2,857",98,361,57,"4,562",2368,45,446,74,5000,2067,2291,98,386,64,4876,2613,118,515,74,5805,2485,2479,98,386,55,4962,245,73,69,0,805,92,8,45,2,16,6,9,6,3,1,1,1,2,8,66%,3%,9%,2%,100%,NA,NA,NA,NA,NA,47%,1%,9%,1%,100%,NA,NA,NA,NA,NA,45%,2%,9%,1%,100%,NA,NA,NA,NA,NA,-2%,1%,0%,0%,0%
